radio,mcc,net,area,cell,unit,lon,lat,range,samples,changeable,created,updated,averageSignal
GSM,647,10,7200,19863,0,45.1791,-12.736,500,110,1,1487737592,1711740054,0
GSM,647,10,7200,19811,0,45.2315,-12.7535,1214,104,1,1475555410,1717525517,0
GSM,647,10,7200,9814,0,45.1776,-12.7235,8896,102,1,1475868864,1717481525,0
GSM,647,10,7200,19807,0,45.2792,-12.7998,6249,21,1,1470288400,1733901070,0
GSM,647,10,7200,29835,0,45.2709,-12.7855,5354,105,1,1470371933,1707143094,0
GSM,647,10,7200,29859,0,45.2112,-12.8003,6765,50,1,1471346914,1732302744,0
GSM,647,10,7200,9863,0,45.1667,-12.7184,7440,106,1,1487737592,1711091587,0
GSM,647,10,7200,19856,0,45.2018,-12.8063,4592,56,1,1491556715,1687156961,0
GSM,647,10,7200,29828,0,45.2209,-12.7695,1116,124,1,1482735085,1717525054,0
GSM,647,10,7200,19846,0,45.2591,-12.7775,5484,23,1,1470140524,1734315065,0
GSM,647,10,7200,9846,0,45.2598,-12.7667,3239,21,1,1470314635,1734290010,0
GSM,647,10,7200,29807,0,45.2788,-12.7898,2405,112,1,1470376787,1724393475,0
GSM,647,10,7200,19835,0,45.2814,-12.7845,871,110,1,1470377555,1701458467,0
GSM,647,10,7200,29836,0,45.2604,-12.7905,1873,50,1,1471001241,1732302744,0
GSM,647,10,7200,9849,0,45.2636,-12.8399,6721,28,1,1471499645,1734210721,0
GSM,647,10,7200,19849,0,45.2538,-12.7804,4352,22,1,1471586490,1733901070,0
GSM,647,10,7200,29841,0,45.2624,-12.7822,5131,113,1,1471586875,1722449837,0
GSM,647,10,7200,9836,0,45.2783,-12.7944,626,118,1,1471589424,1701458467,0
GSM,647,10,7200,19841,0,45.2705,-12.789,4878,135,1,1471596185,1697998688,0
GSM,647,10,7200,9859,0,45.2826,-12.7985,1997,105,1,1471603956,1689323070,0
GSM,647,10,7200,19859,0,45.293,-12.8383,4031,44,1,1471603956,1733641865,0
GSM,647,10,7200,29814,0,45.1362,-12.7159,13305,107,1,1471930848,1709666466,0
GSM,647,10,7200,19814,0,45.1691,-12.7284,5237,124,1,1471930848,1711653732,0
GSM,647,10,7200,9840,0,45.2274,-12.7656,709,26,1,1475872768,1728584127,0
GSM,647,10,7200,9815,0,45.2032,-12.8113,7710,114,1,1476250273,1689507855,0
GSM,647,10,7200,9811,0,45.2316,-12.7572,500,118,1,1475218750,1711739989,0
GSM,647,10,7200,9862,0,45.2453,-12.7263,8119,50,1,1475218878,1732475759,0
GSM,647,10,7200,19840,0,45.228,-12.771,885,26,1,1475840929,1728497709,0
GSM,647,10,7200,29840,0,45.2238,-12.7715,859,50,1,1475840929,1728411296,0
GSM,647,10,7200,9819,0,45.2284,-12.7484,8867,140,1,1475872895,1709320803,0
GSM,647,10,7200,19819,0,45.2209,-12.745,1251,107,1,1475872895,1711135921,0
GSM,647,10,7200,19815,0,45.2052,-12.8079,1087,117,1,1476360369,1689058165,0
GSM,647,10,7200,9857,0,45.2118,-12.8092,3998,21,1,1476770233,1729537985,0
GSM,647,10,7200,19857,0,45.1986,-12.8286,8749,50,1,1476856486,1732302744,0
GSM,647,10,7200,9808,0,45.285,-12.7259,3031,50,1,1477977954,1727503868,0
GSM,647,10,7200,19808,0,45.1409,-12.6573,6461,35,1,1478071525,1733339638,0
