startIP,endIP,city,longitude,latitude,startIPNum,endIPNum
5.102.72.0,5.102.72.255,Mamoudzou,45.22750,-12.78000,90589184,90589439
41.242.116.0,41.242.119.255,Mamoudzou,45.22750,-12.78000,703755264,703756287
92.142.128.0,92.142.138.255,Mamoudzou,45.22750,-12.78000,1552842752,1552845567
92.142.140.0,92.142.141.255,Mamoudzou,45.22750,-12.78000,1552845824,1552846335
92.142.143.0,92.142.152.255,Mamoudzou,45.22750,-12.78000,1552846592,1552849151
92.142.153.0,92.142.153.255,Bandrele,45.19150,-12.90700,1552849152,1552849407
92.142.154.0,92.142.155.255,Mamoudzou,45.22750,-12.78000,1552849408,1552849919
92.142.156.0,92.142.156.255,Bandrele,45.19150,-12.90700,1552849920,1552850175
92.142.157.0,92.142.157.255,Mamoudzou,45.22750,-12.78000,1552850176,1552850431
92.142.159.0,92.142.160.255,Mamoudzou,45.22750,-12.78000,1552850688,1552851199
92.142.161.0,92.142.162.255,Pamandzi,45.28255,-12.79489,1552851200,1552851711
92.142.163.0,92.142.163.255,Kani Keli,45.10333,-12.95361,1552851712,1552851967
92.142.164.0,92.142.168.255,Mamoudzou,45.22750,-12.78000,1552851968,1552853247
92.142.170.0,92.142.171.255,Mamoudzou,45.22750,-12.78000,1552853504,1552854015
92.142.172.0,92.142.172.255,Bandraboua,45.12056,-12.70167,1552854016,1552854271
92.142.173.0,92.142.178.255,Mamoudzou,45.22750,-12.78000,1552854272,1552855807
92.142.180.0,92.142.182.255,Mamoudzou,45.22750,-12.78000,1552856064,1552856831
92.142.184.0,92.142.189.255,Mamoudzou,45.22750,-12.78000,1552857088,1552858623
92.142.190.0,92.142.190.255,Tsingoni,45.10278,-12.78722,1552858624,1552858879
92.142.191.0,92.142.212.255,Mamoudzou,45.22750,-12.78000,1552858880,1552864511
92.142.213.0,92.142.214.255,Pamandzi,45.28255,-12.79489,1552864512,1552865023
92.142.216.0,92.142.218.255,Mamoudzou,45.22750,-12.78000,1552865280,1552866047
92.142.219.0,92.142.219.255,Pamandzi,45.28255,-12.79489,1552866048,1552866303
92.142.220.0,92.142.223.255,Mamoudzou,45.22750,-12.78000,1552866304,1552867327
94.124.154.0,94.124.154.255,Mamoudzou,45.22750,-12.78000,1585224192,1585224447
94.124.159.0,94.124.159.255,Mamoudzou,45.22750,-12.78000,1585225472,1585225727
98.97.181.0,98.97.181.255,Mamoudzou,45.22750,-12.78000,1650570496,1650570751
102.135.226.0,102.135.227.255,Mamoudzou,45.22750,-12.78000,1720181248,1720181759
102.135.229.0,102.135.229.255,Mamoudzou,45.22750,-12.78000,1720182016,1720182271
135.129.121.0,135.129.121.255,Mamoudzou,45.22750,-12.78000,2273409280,2273409535
164.160.70.0,164.160.71.255,Mamoudzou,45.22750,-12.78000,2761967104,2761967615
172.225.221.0,172.225.221.255,Mamoudzou,45.22750,-12.78000,2900483328,2900483583
193.248.116.0,193.248.119.255,Mamoudzou,45.22750,-12.78000,3254285312,3254286335
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
0.0.0.0,255.255.255.255,Mamoudzou,45.22750,-12.78000,0,4294967295
